verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO,year,artist,dimension_dominante,intensidad_max,decada,umap_x,umap_y,umap_z
"""Ay, dame doscientos mil",0.0,0.0,1.0,0.0,0.0,0.0,1997.0,Banda Sinaloense Los Recoditos,DI,1.0,1990.0,2.122299,0.3632069,-0.14077388
"""Bernal, ahí viene la tropa""",0.0,0.0,0.0,0.0,0.0,2.0,1988.0,Pedro Infante,GO,2.0,1980.0,5.9425898,-0.72258395,-0.5835277
"""Ánimo mi campo, y ajústele al carro""",0.0,1.0,0.0,0.0,0.0,0.0,2013.0,Voz De Mando,MO,1.0,2010.0,6.2683687,-0.3253272,1.9785826
"(Jefe, jefe) comandamo'",0.0,0.0,0.0,1.0,0.0,0.0,2008.0,Daddy Yankee,PO,1.0,2000.0,4.8708315,-1.1798677,-0.8600917
(Yeah) Yeah yo quiero grande mota,0.0,0.0,0.0,0.0,1.0,0.0,2018.0,T.I.,NA,1.0,2010.0,5.499324,-0.05755788,2.0340161
20 millones era el precio,0.0,0.0,3.0,0.0,0.0,3.0,,Grupo Laberinto,DI,3.0,2000.0,2.4787705,0.64115596,-0.5314004
"200 kilos de coca, que a san Francisco llevaban",0.0,2.0,0.0,0.0,2.0,0.0,1998.0,Los Huracanes Del Norte,MO,2.0,1990.0,5.8165054,0.88234717,1.4231348
A buscar a aquel bandido,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,Lalo Mora,GO,2.0,2000.0,5.6309743,-0.84429526,-0.3514959
"A chihuahua otro reten militar, ojala sea mi teniente",0.0,0.0,0.0,2.0,0.0,2.0,1997.0,Vaquero's Musical,PO,2.0,1990.0,4.559519,-0.3868649,0.2229302
A depositar el dinero,0.0,0.0,2.0,0.0,0.0,0.0,,Los Caminantes,DI,2.0,2000.0,2.5488627,-0.11995928,-0.092010275
A dos hombres que mataron,1.0,0.0,0.0,0.0,0.0,0.0,1996.0,Chalino Sánchez,AR,1.0,1990.0,6.8906245,-2.440962,-0.9943527
A la orden de la gran empresa,0.0,0.0,0.0,2.0,0.0,0.0,2014.0,Los Tucanes De Tijuana,PO,2.0,2010.0,4.2235217,-0.21808212,-0.9326787
A las mujeres mas bonitas se llevaba,0.0,0.0,3.0,0.0,0.0,0.0,,Los Alegres De Teran,DI,3.0,2000.0,5.350521,1.2343957,0.06873939
"A lomo de un caballo, buscando pero no hallo",0.0,1.0,0.0,0.0,0.0,0.0,2002.0,"""El Piporro""",MO,1.0,2000.0,5.7585483,-1.3756706,1.9984094
"A meterse cocaína o chiflarle a sus vecinas, como yo",0.0,0.0,0.0,0.0,1.0,0.0,2006.0,Cartel De Santa,NA,1.0,2000.0,4.840542,-0.4253554,1.0178031
A mi me gusta el tequila que sale de los magueyes a mi no me ofrezcan agua que el agua es para los bueyes por eso traigo dinero pa darme vida de reyes,0.0,0.0,3.0,0.0,0.0,0.0,,Grupo Exterminador,DI,3.0,2000.0,2.7972221,0.06837532,0.40753132
A reventar de dinero,0.0,0.0,2.0,0.0,0.0,0.0,,Pesado,DI,2.0,2000.0,2.7192595,-0.40216035,-0.22843996
A sido el polvo maldito.,0.0,0.0,0.0,0.0,1.0,0.0,1980.0,Los Cadetes de Linares,NA,1.0,1980.0,3.8037577,0.36663267,2.193132
A su pistola echo mano,2.0,0.0,0.0,0.0,0.0,0.0,2008.0,Valentin Elizalde,AR,2.0,2000.0,7.087662,-0.5261797,-1.0208741
"Abra la cajuela, jefe",0.0,0.0,0.0,1.0,0.0,0.0,2008.0,Lalo Mora,PO,1.0,2000.0,4.640769,-0.9458597,-0.83053845
Acepté dar una vuelta en su carro latino,0.0,1.0,0.0,0.0,0.0,0.0,1996.0,Illya Kuryaki & The Valderramas,MO,1.0,1990.0,6.314846,-0.0678421,2.0025811
Acribillándose a tiros,2.0,0.0,0.0,0.0,0.0,0.0,1977.0,Ramon Ayala y sus Bravos Del Norte,AR,2.0,1970.0,6.774055,-2.0482287,-1.0354841
Ademas de unos billetes,0.0,0.0,1.0,0.0,0.0,0.0,,Grupo Exterminador,DI,1.0,2000.0,1.7807122,-0.018728958,-0.33753982
Agarro las llaves de su pichi camioneta,0.0,1.0,0.0,0.0,0.0,0.0,2015.0,Millonario,MO,1.0,2010.0,6.6714582,-0.026848583,1.82833
"Agustín bajaba, bajaba a caballo",0.0,1.0,0.0,0.0,0.0,0.0,1988.0,Los Mier,MO,1.0,1980.0,5.6750946,-1.5681748,2.169219
"Ah, tráigamo' la mota, que vamo' a quemar",0.0,0.0,0.0,0.0,1.0,0.0,2024.0,Maluma,NA,1.0,2020.0,5.664515,0.112765715,1.9611838
Ahi traigo un cuerno de chivo,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,Banda Machos,AR,3.0,2000.0,5.518483,-0.4841498,1.7915813
"Ahora unos judiciales, usan muy modernas armas",0.0,0.0,0.0,0.0,0.0,1.0,2008.0,Valentin Elizalde,GO,1.0,2000.0,6.703947,-0.5816906,-1.1162064
Ahí murieron diez hombres,1.0,0.0,0.0,2.0,0.0,0.0,1988.0,Los Huracanes Del Norte,PO,2.0,1980.0,6.8636136,-2.5292304,-1.1159307
"Ahí quedaron diez hombres, por esos mismos motivos",1.0,0.0,0.0,1.0,0.0,0.0,2000.0,Antonio Aguilar,AR,1.0,2000.0,6.8872533,-2.4466016,-1.1683662
Al infierno yo he mandado,2.0,0.0,0.0,0.0,0.0,0.0,2008.0,Banda Machos,AR,2.0,2000.0,5.476602,-1.881202,-0.61280113
Algunos ya han agarrado,0.0,0.0,0.0,0.0,0.0,2.0,1998.0,Grupo Exterminador,GO,2.0,1990.0,5.549015,0.27238214,-0.051590156
"Allá en lo alto de la sierra, sembré como cien hectáreas",0.0,0.0,0.0,0.0,1.0,0.0,1998.0,Los Huracanes Del Norte,NA,1.0,1990.0,4.8915763,1.2575285,1.2488688
Allí murieron diez hombres,1.0,0.0,0.0,2.0,0.0,0.0,1984.0,Los Cadetes De Linares,PO,2.0,1980.0,6.8403497,-2.5262666,-1.0779954
Ando al puro pedo con billetes en la bolsa,0.0,0.0,2.0,0.0,0.0,0.0,,Cartel De Santa,DI,2.0,2000.0,1.9599601,-0.2443538,-0.35012165
Ando sobres de mi business coronando varias bitches,0.0,0.0,2.0,0.0,0.0,0.0,2020.0,Alemán,DI,2.0,2020.0,4.469356,0.8556721,-0.15847144
Anti comerciales gana euros ah raulares,0.0,0.0,2.0,0.0,0.0,0.0,1976.0,Mariachi Vargas de Tecalitlán,DI,2.0,1970.0,2.576953,-0.28827283,-0.12875995
Aquel que dejarón muerto,2.0,0.0,0.0,0.0,0.0,0.0,1996.0,Pepe Aguilar,AR,2.0,1990.0,6.652263,-2.5961354,-0.71049696
Arma que trae empotrada,2.0,0.0,0.0,0.0,0.0,0.0,2008.0,Los Tucanes De Tijuana,AR,2.0,2000.0,6.8224835,-0.39420944,-0.8397465
Ask him if he got some weed,0.0,0.0,0.0,0.0,1.0,0.0,2018.0,T.I.,NA,1.0,2010.0,5.285536,-0.64537823,0.7866278
"Así como llegan las pacas, se van",0.0,0.0,2.0,0.0,0.0,0.0,,Junior H,DI,2.0,2000.0,5.3438134,2.4456606,1.0883675
Así le decía su gente,0.0,0.0,0.0,2.0,0.0,0.0,1997.0,Los Tucanes De Tijuana,PO,2.0,1990.0,4.9821186,-0.76532435,-0.79844815
"Así que prende el gallo, así que saca el yeyo",0.0,0.0,0.0,0.0,1.0,0.0,2025.0,Alemán,NA,1.0,2020.0,5.362179,-1.6593648,1.9475057
"Avanzando, patrullando",0.0,2.0,0.0,2.0,0.0,0.0,2023.0,"Peso Pluma, Eladio Carrion",MO,2.0,2020.0,5.881268,-0.46410507,-0.22374985
Bazuca y lanzagranadas y un cuerno de disco,3.0,0.0,0.0,0.0,0.0,0.0,2013.0,Voz De Mando,AR,3.0,2010.0,6.976279,-0.35926732,-0.61367583
"Billetes bajos no portamos, sólo cien, yeah",0.0,0.0,2.0,0.0,0.0,0.0,,Alemán,DI,2.0,2000.0,1.7563132,0.28079173,-0.04557571
Billetes tengo en costales pa'comprar lo que se antoja,0.0,0.0,3.0,0.0,0.0,0.0,2013.0,El Komander,DI,3.0,2010.0,2.0284922,0.12574089,-0.12050715
"Billetes verdes, los voy a tener (ah)",0.0,0.0,2.0,0.0,0.0,0.0,,Alemán,DI,2.0,2000.0,1.7964166,0.28460708,-0.065589376
Blindaje en las calles,3.0,1.0,0.0,0.0,0.0,0.0,2012.0,Calibre 50,AR,3.0,2010.0,6.0810084,-0.075719774,0.07863213
Bonita pistola escuadra,3.0,0.0,0.0,0.0,0.0,0.0,1997.0,Luis Y Julian,AR,3.0,1990.0,6.9856896,-0.62648886,-1.007701
"Brindo con henny, ya estamos ready",0.0,0.0,1.0,0.0,0.0,0.0,2021.0,Denilson,DI,1.0,2020.0,5.002608,0.2682079,0.491119
"Buenos lujos, mujeres y adicción",0.0,0.0,2.0,0.0,2.0,0.0,,Dharius,DI,2.0,2000.0,5.0867324,1.3364338,-0.23338681
Cachas de oro y tiro arriba,0.0,0.0,1.0,0.0,0.0,0.0,,Grupo Exterminador,DI,1.0,2000.0,3.285657,0.7251456,-1.2449937
Cada uno con su pistola,1.0,0.0,0.0,0.0,0.0,0.0,1984.0,Los Caminantes,AR,1.0,1980.0,7.046729,-0.8003013,-1.1225718
Carga las mejores armas,2.0,0.0,0.0,0.0,0.0,0.0,2013.0,Voz De Mando,AR,2.0,2010.0,6.666477,-0.01880947,-0.6734144
Cayeron dos de a caballo,1.0,1.0,0.0,0.0,0.0,0.0,2019.0,Carin León,AR,1.0,2010.0,5.7593956,-1.5572982,2.1018143
"Cheques, billetes y pesos",0.0,0.0,1.0,0.0,0.0,0.0,2000.0,Antonio Aguilar,DI,1.0,2000.0,1.7061232,0.040622544,-0.21456851
"Chico, me hace falta un carro",0.0,1.0,1.0,0.0,0.0,0.0,2008.0,Daddy Yankee,MO,1.0,2000.0,6.1248274,-0.20994715,1.9830809
Cinco balazos sonaron,2.0,0.0,0.0,0.0,0.0,0.0,1976.0,Carlos Y Jose,AR,2.0,1970.0,7.2960687,-1.3835815,-1.3624445
Cincuenta balas de acero,2.0,0.0,0.0,0.0,0.0,0.0,1972.0,Antonio Aguilar,AR,2.0,1970.0,7.1924043,-1.3623517,-1.4459231
"Como era entendido, a señas le hablaba",0.0,0.0,0.0,1.0,0.0,0.0,1988.0,Los Mier,PO,1.0,1980.0,5.07635,-0.85498714,-0.6057556
Como narco contando billetes,0.0,0.0,2.0,0.0,0.0,0.0,,Bad Bunny,DI,2.0,2000.0,1.8819388,-0.16794272,-0.32553163
"Compa Chino, que sigan llegando las pacas, viejón",0.0,0.0,2.0,0.0,0.0,0.0,,Chino Pacas,DI,2.0,2000.0,5.394254,2.433615,1.065245
"Compa ando torcido, ya me pegó el blunt",0.0,0.0,0.0,0.0,1.0,0.0,2023.0,Peso Pluma,NA,1.0,2020.0,4.4136558,-0.01875144,1.2275048
Compadre estamos rodeados,2.0,0.0,0.0,0.0,0.0,0.0,2013.0,Julión Álvarez Y Su Norteño Banda,AR,2.0,2010.0,5.1172595,0.11789015,-0.015284719
Con La Muerte Lo Amago,1.0,0.0,0.0,0.0,0.0,0.0,2002.0,"""El Piporro""",AR,1.0,2000.0,6.647639,-2.3735003,-0.7368969
Con billetes el Gobierno,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,Los Huracanes Del Norte,GO,2.0,2000.0,1.7019664,-0.034234494,-0.3308599
"Con billetes se hacen sordos, y hasta en ciegos los convierto",0.0,0.0,3.0,0.0,0.0,3.0,,Los Huracanes Del Norte,DI,3.0,2000.0,1.7177199,-0.15253331,-0.2851832
Con el polvo blanco que me levanta,0.0,0.0,0.0,0.0,1.0,0.0,2025.0,CA7RIEL & Paco Amoroso,NA,1.0,2020.0,3.9052174,0.25678483,2.1080875
Con ella le dio 6 tiros,2.0,0.0,0.0,0.0,0.0,0.0,2006.0,Los Invasores De Nuevo Leon,AR,2.0,2000.0,7.100516,-1.0644411,-1.2131683
Con ella los aplausos las grupis y el dinero,0.0,0.0,3.0,0.0,0.0,0.0,,Cartel De Santa,DI,3.0,2000.0,2.9094098,0.17702565,-0.5982177
Con la mafia se gana dinero,0.0,0.0,3.0,0.0,0.0,0.0,,Los Tucanes De Tijuana,DI,3.0,2000.0,2.8555608,-0.45489857,-0.28664315
Con la muerte lo amagó,2.0,0.0,0.0,0.0,0.0,0.0,1984.0,Los Caminantes,AR,2.0,1980.0,6.6918464,-2.5571475,-0.8434643
Con mi carnal voy zumbando,0.0,1.0,1.0,0.0,0.0,0.0,2025.0,Chino Pacas,MO,1.0,2020.0,4.72102,-0.21571818,1.4779488
"Con más estilo que dinero, pero no me desespero",0.0,0.0,1.0,0.0,0.0,0.0,,Dharius,DI,1.0,2000.0,3.3288953,0.38926727,0.3131925
"Con su caballo tordillo, frente de la plaza de armas",0.0,1.0,0.0,0.0,0.0,0.0,1980.0,Los Alegres De Terán,MO,1.0,1980.0,5.8221717,-1.6752186,2.0217004
Con sus armas en la mano,2.0,0.0,0.0,0.0,0.0,0.0,1984.0,Los Caminantes,AR,2.0,1980.0,6.804299,-0.66925544,-0.93637574
"Con sus cuatro cargadores, puro parque americano",2.0,0.0,0.0,0.0,0.0,0.0,2003.0,Los Tigres Del Norte,AR,2.0,2000.0,6.2100296,0.8012711,1.2530751
Con tu carter doble fondo,0.0,0.0,3.0,0.0,0.0,0.0,2009.0,vagón chicano,DI,3.0,2000.0,2.4883313,-0.14283918,-0.20976667
Con un balazo en el pecho era imposible escapar,2.0,0.0,0.0,0.0,0.0,0.0,2000.0,Beto Quintanilla,AR,2.0,2000.0,7.0581527,-1.7191902,-0.6769203
"Con un gallo cada quien, yeh",0.0,0.0,0.0,0.0,1.0,0.0,2019.0,La Plebada,NA,1.0,2010.0,5.357422,-1.6639233,1.9598551
"Con una en bellaquera, ma, a lo De La Geezy, perreando",0.0,2.0,2.0,0.0,0.0,0.0,2024.0,Maluma,MO,2.0,2020.0,5.0299883,-0.084267564,0.8392518
Con una morrita a un lado y en una troca perrona,0.0,1.0,2.0,0.0,0.0,0.0,2012.0,Calibre 50,DI,2.0,2010.0,5.126647,-0.07360686,1.1653781
"Conocen mi cara, soy quien tiene el mando",0.0,0.0,0.0,2.0,0.0,0.0,2022.0,Dharius,PO,2.0,2020.0,4.7723355,-0.35879132,-0.4515236
"Conozco todos, los traficantes",2.0,0.0,0.0,0.0,0.0,0.0,1988.0,Los Huracanes Del Norte,AR,2.0,1980.0,4.7614603,0.066101976,-0.7846204
"Costales verdes, kilos azules",0.0,0.0,0.0,0.0,2.0,0.0,2023.0,Peso Pluma,NA,2.0,2020.0,3.128594,1.180122,0.7303022
Cuando a caballo montaba,0.0,1.0,0.0,0.0,0.0,0.0,1978.0,Carlos Y Jose,MO,1.0,1970.0,5.741473,-1.4811916,2.1912138
Cuando da la voz de mando,0.0,0.0,0.0,2.0,0.0,0.0,2008.0,Los Tucanes De Tijuana,PO,2.0,2000.0,5.2574215,-1.0104513,-0.9333775
"Cuando llego el gatillero, montado en su camioneta",1.0,2.0,0.0,1.0,0.0,0.0,2008.0,Pesado,MO,2.0,2000.0,6.893568,0.05571693,1.6599209
"Cuando llego el pistolero, montado en su camioneta,",2.0,2.0,0.0,2.0,0.0,0.0,1983.0,Luis Y Julián,AR,2.0,1980.0,6.9448137,0.0020246864,1.5956914
"Cuando me encierro en el baño unos cuantos dias, salud con miel call it maple syrup pues parece el ligero de una mina te das un dap de esta mierda y tu cabeza gira, mira mira dolares mira ganando dolares de lunes a domingo todo el dia todo el dia",0.0,0.0,2.0,0.0,1.0,0.0,2015.0,Adan Cruz,DI,2.0,2010.0,2.8310447,0.3794397,0.103620045
Cuando un tiro de pistola,2.0,0.0,0.0,0.0,0.0,0.0,1997.0,Antonio Aguilar,AR,2.0,1990.0,7.2343388,-0.932821,-1.2422521
Cuando yo empecé me fue muy bien,0.0,0.0,1.0,0.0,1.0,0.0,2024.0,Tito Double P,DI,1.0,2020.0,4.2941227,-0.046324663,0.17092696
Cuando yo no tenía carro,0.0,1.0,0.0,0.0,0.0,0.0,2002.0,Joan Sebastian,MO,1.0,2000.0,6.241097,-0.29335308,1.8559759
Cuatro hombres habrá tirados,2.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,2.0,1980.0,6.5667615,-1.2385345,-1.1985168
"Cáele sin pedos. Sólo dime a cuanta gente traes, ok",0.0,0.0,0.0,1.0,0.0,0.0,2013.0,Tino El Pingüino,PO,1.0,2010.0,4.2728624,0.42478722,0.15744145
De ahí me cruzo pa'l gabacho por mota californiana,0.0,0.0,0.0,0.0,1.0,0.0,2022.0,Dharius,NA,1.0,2020.0,5.8642488,0.06336561,2.0646443
De arriba llego la orden,0.0,0.0,0.0,0.0,0.0,1.0,1997.0,Los Tucanes De Tijuana,GO,1.0,1990.0,4.750877,-0.5403029,-0.9523048
De calibres diferentes,1.0,0.0,0.0,0.0,0.0,0.0,1997.0,Grupo Exterminador,AR,1.0,1990.0,6.875168,-0.9476939,-1.2680213
De cruzar mi contrabando,0.0,2.0,0.0,0.0,0.0,0.0,2000.0,Exterminador,MO,2.0,2000.0,3.9415405,1.5571144,2.6520495
"De dos balazos certeros, el cráneo le atravesó",3.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,3.0,1980.0,7.152428,-1.9839885,-0.9585568
De dólares traiga pacas,0.0,0.0,2.0,0.0,0.0,0.0,,Los Tigres Del Norte,DI,2.0,2000.0,2.8018684,0.6810496,0.21085937
De gatilleros mafiosos,2.0,0.0,0.0,0.0,0.0,0.0,1996.0,Los Tucanes De Tijuana,AR,2.0,1990.0,6.6513815,-1.3729784,-1.3804389
De pues de abrirle su clave,0.0,0.0,0.0,1.0,0.0,0.0,2009.0,Sergio Vega,PO,1.0,2000.0,4.1772876,-0.94823384,-0.6349158
"Decían que estaba forrado, con un chaleco de malla",1.0,0.0,2.0,0.0,0.0,0.0,1980.0,Los Alegres De Terán,DI,2.0,1980.0,5.250735,-0.44705117,0.33365503
"Dejaba pueblos enteros, llenos de puros colgados",3.0,0.0,0.0,0.0,0.0,3.0,1980.0,Los Alegres De Terán,AR,3.0,1980.0,4.9971557,1.3758601,1.1231337
Dejaremos que hablen nuestras armas,2.0,0.0,0.0,0.0,0.0,0.0,2008.0,Los Cadetes De Linares,AR,2.0,2000.0,6.9996457,-0.7381965,-0.7355465
Descansen ya sus armas que nadie pidió una guerra,1.0,0.0,0.0,0.0,0.0,0.0,2019.0,Skool 77,AR,1.0,2010.0,6.8313255,-1.1492934,-0.2675626
Descubrí que en las calles es donde está el dinero,0.0,0.0,2.0,0.0,0.0,0.0,,Natanael Cano,DI,2.0,2000.0,2.930385,-0.32549268,-0.26869187
Desde Colombia la traen avionetas bien cargadas,0.0,2.0,0.0,0.0,2.0,0.0,1997.0,Vaquero's Musical,MO,2.0,1990.0,6.8015876,0.41749507,1.5259745
Dese muerto aunque mucho se esconda.,2.0,0.0,0.0,0.0,0.0,0.0,2012.0,Carlos Y Jose,AR,2.0,2010.0,6.1925197,-2.3967304,-0.51919043
"Después la balacera, el guilo quedaba muerto",3.0,0.0,0.0,0.0,0.0,0.0,1998.0,Chalino Sánchez,AR,3.0,1990.0,6.975425,-2.1690705,-0.83553195
"Diamante' en los dientes, Cartier en los lentes",0.0,0.0,3.0,0.0,0.0,0.0,2025.0,Natanael Cano,DI,3.0,2020.0,3.0444722,1.226623,-1.4602247
Diamantes en los arcillos,0.0,0.0,1.0,0.0,0.0,0.0,,Rich Vagos,DI,1.0,2000.0,3.0319319,1.2164885,-1.4621862
Dicen que me andan buscando,0.0,0.0,0.0,0.0,0.0,2.0,1997.0,Los Huracanes Del Norte,GO,2.0,1990.0,5.185656,-0.541547,-0.013351997
"Dicen que me andan buscando que me quieren agarrar,",0.0,0.0,0.0,0.0,0.0,2.0,2013.0,Valentín Elizalde,GO,2.0,2010.0,5.106222,-0.52552277,0.14482747
"Dicen que por california, se vio la troca mentada",0.0,1.0,0.0,0.0,0.0,0.0,1997.0,Los Huracanes Del Norte,MO,1.0,1990.0,5.3380966,0.16114697,0.8373825
"Diferentes mujeres de varios sabores, nomás no te me aloques",0.0,0.0,2.0,0.0,0.0,0.0,,Fuerza Regida,DI,2.0,2000.0,4.972032,1.2667395,-0.15786709
"Digital es el dinero, hey (yah)",0.0,0.0,1.0,0.0,0.0,0.0,,Natanael Cano,DI,1.0,2000.0,2.7597866,0.07949102,-0.3612078
Dijo el jefe de los federales,0.0,0.0,0.0,0.0,0.0,1.0,1996.0,Grupo Exterminador,GO,1.0,1990.0,5.250839,-0.6102956,-1.1191498
Dijo la esposa del jefe,0.0,0.0,0.0,1.0,0.0,0.0,1997.0,Los Tucanes De Tijuana,PO,1.0,1990.0,4.9767847,-1.0972785,-0.92658836
"Dios me perdone por matar a los que me tiran pero ninguno me lastima, gracias",2.0,0.0,0.0,0.0,0.0,0.0,2020.0,Rich Vagos,AR,2.0,2020.0,6.44541,-1.5531561,-0.37152752
"Dioses, drogas, TV, sangre, escuela, oro, odio, ego, muerte",0.0,0.0,3.0,0.0,0.0,0.0,,Mike Diaz,DI,3.0,2000.0,3.1514564,0.02081252,-0.37220433
"Dió principio la cuestión,",1.0,0.0,0.0,0.0,0.0,0.0,1985.0,Chayito Valdez,AR,1.0,1980.0,4.586735,-0.52437437,-0.23911166
Doble fondo al tanque ya está muy quemado,0.0,1.0,0.0,0.0,0.0,0.0,2013.0,El Komander,MO,1.0,2010.0,4.091038,-0.18501501,0.6826339
Dos tiros de gracia que aún me arden al acordarme,2.0,0.0,0.0,0.0,0.0,0.0,2006.0,Kartel De Las Calles,AR,2.0,2000.0,7.3829265,-1.345736,-1.3142978
Dos toneladas de mota,0.0,0.0,0.0,0.0,3.0,0.0,2008.0,Valentin Elizalde,NA,3.0,2000.0,5.971803,0.69192576,1.6181033
"Dígame, la gente del gobierno local",0.0,0.0,0.0,0.0,0.0,1.0,2006.0,Vico C,GO,1.0,2000.0,5.3445597,0.11516587,-1.7315019
Dólares se me revelan,0.0,0.0,1.0,0.0,0.0,0.0,,Los Tucanes De Tijuana,DI,1.0,2000.0,2.6580799,0.45698842,0.07577775
El Colorado se ha muerto ya nunca peleara y a los que a mi metaron ya nunca mas pelearan,2.0,0.0,0.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,AR,2.0,2010.0,6.6425343,-1.5038066,-0.14153837
El amo del contrabando,0.0,2.0,0.0,0.0,0.0,0.0,2002.0,"""El Piporro""",MO,2.0,2000.0,3.9178123,1.6453404,2.7303522
El carro es rojo con blanco,0.0,1.0,0.0,0.0,0.0,0.0,1984.0,Los Cadetes De Linares,MO,1.0,1980.0,6.3915105,-0.06845773,1.9206736
El comandante le dijo te voy a llevar prisionero...,0.0,0.0,0.0,0.0,0.0,1.0,1998.0,Los Huracanes Del Norte,GO,1.0,1990.0,5.2160544,-1.5975277,-0.64245725
El contrabando es un polvo,0.0,2.0,0.0,0.0,2.0,0.0,2008.0,Valentin Elizalde,MO,2.0,2000.0,3.8686328,1.5597022,2.7057633
El de las pacas de a kilo,0.0,0.0,0.0,0.0,2.0,0.0,1998.0,Grupo Exterminador,NA,2.0,1990.0,3.417783,1.3214614,0.78228325
El dinero es lo único verdadero,0.0,0.0,3.0,0.0,0.0,0.0,,Natanael Cano,DI,3.0,2000.0,2.5481265,-0.06559662,-0.18676649
El dinero es pa gastarlo no es pa tenerlo guardado si no de que me ha servido lo mucho que he trabajado sirvanle a todos mesera no he venido a pedir fiado con billetes en la bolsa lo que me sobra es la carne el pan me lo dejan fiado lo que me falta es el hambre antes que el mundo se acabe voy a vivir a lo grande,0.0,0.0,3.0,0.0,0.0,0.0,,Grupo Exterminador,DI,3.0,2000.0,2.6689334,0.025435843,0.2691869
El dinero se guarda en maleta',0.0,0.0,2.0,0.0,0.0,0.0,,Peso Pluma,DI,2.0,2000.0,2.662131,-0.15177955,-0.111453645
"El dinero, ah",0.0,0.0,1.0,0.0,0.0,0.0,,Wisin,DI,1.0,2000.0,2.6431775,0.05830419,-0.5039496
"El gallo es de oro me rallo ahorro pa que te lo presto ni pasas el porro, pasalo pasalo pasalo",0.0,0.0,0.0,0.0,1.0,0.0,,Adan Cruz,NA,1.0,2000.0,2.8113668,0.1836863,0.39282975
"El gobierno americano, ofrece muchos millones",0.0,0.0,0.0,0.0,0.0,2.0,2008.0,Valentin Elizalde,GO,2.0,2000.0,4.907545,0.17804623,-1.8935243
El nombre jamás se supo y aquel valiente muchacho cuentan que por Michoacán alegre se anda paseando gastando muchos billetes y otro viaje preparando,0.0,0.0,3.0,0.0,0.0,0.0,,Grupo Exterminador,DI,3.0,2000.0,2.1331184,-0.08315394,-0.23495306
El plan A era generar billetes,0.0,0.0,1.0,0.0,0.0,0.0,,Peso Pluma,DI,1.0,2000.0,1.7823468,0.0031695478,-0.43664968
El polvo empezó a gustarle,0.0,0.0,0.0,0.0,1.0,0.0,2009.0,Los Cadetes De Linares,NA,1.0,2000.0,3.8133404,0.23117171,2.1566346
El polvo me quita el sueño,0.0,0.0,0.0,0.0,1.0,0.0,1996.0,Grupo Exterminador,NA,1.0,1990.0,3.883187,0.28463244,2.15108
El polvo ya ni me pasa,0.0,0.0,0.0,0.0,1.0,0.0,2024.0,Tito Double P,NA,1.0,2020.0,3.919112,0.33458698,2.0786488
"Eleazar ya maliciaba, que lo querían matar",2.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,AR,2.0,1980.0,6.2634673,-2.102476,-0.9685257
