verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO,year,artist,dimension_dominante,intensidad_max,decada,umap_x,umap_y,umap_z
Ella solita se tira a matar,1.0,0.0,0.0,0.0,0.0,0.0,2025.0,Natanael Cano,AR,1.0,2020.0,6.481026,-2.058439,-1.1092473
Ellos se ponen su ropa de marca,0.0,0.0,1.0,0.0,0.0,0.0,2015.0,Millonario,DI,1.0,2010.0,5.6142597,0.39300233,-0.22559072
"Empezo a empuñar dinero, tambien empuño la fama",0.0,0.0,3.0,0.0,0.0,0.0,,Valentin Elizalde,DI,3.0,2000.0,3.0816226,0.11506377,-0.63271904
En 5 y 10 mil millones,0.0,0.0,1.0,0.0,0.0,0.0,,Los Tigres Del Norte,DI,1.0,2000.0,2.358688,0.3050069,-0.2985684
"En Jiménez, la muerte encontró",1.0,0.0,0.0,0.0,0.0,0.0,1984.0,Antonio Aguilar,AR,1.0,1980.0,6.419203,-2.6493256,-1.044368
"En Nueva York, visitando a mi joyero",0.0,0.0,3.0,0.0,0.0,0.0,2022.0,Rosalía,DI,3.0,2020.0,3.1272225,1.2160262,-1.3585981
En ese real de los reyes.,0.0,0.0,1.0,0.0,0.0,0.0,2000.0,Beto Quintanilla,DI,1.0,2000.0,5.3388834,-0.11443485,0.2356766
En esto del contrabando,0.0,2.0,0.0,2.0,0.0,0.0,1998.0,El Poder Del Norte,MO,2.0,1990.0,3.9233673,1.640047,2.7374232
"En la calle la moví, cocaína",0.0,2.0,0.0,0.0,2.0,0.0,2020.0,Alemán,MO,2.0,2020.0,5.280383,-0.07786509,1.3351473
En la frontera les temen,1.0,0.0,0.0,0.0,0.0,0.0,1988.0,Los Tigres Del Norte,AR,1.0,1980.0,5.98801,-0.67700315,-0.7398498
En las cachas trae su nombre,2.0,0.0,3.0,0.0,0.0,0.0,2003.0,Chalino Sánchez,DI,3.0,2000.0,5.403778,0.54989594,-0.48600262
En los Estados Unidos alla la compran por kilos,0.0,0.0,0.0,0.0,2.0,0.0,1997.0,Vaquero's Musical,NA,2.0,1990.0,3.6216075,1.0978415,1.059302
"En medio de aquella fruta, llevaban la carga blanca",0.0,0.0,0.0,0.0,2.0,0.0,1985.0,Luis Y Julian,NA,2.0,1980.0,6.063481,0.9662026,1.3584963
En una cantina donde lo mataron,2.0,0.0,0.0,0.0,0.0,0.0,1988.0,Los Mier,AR,2.0,1980.0,6.827798,-2.5844216,-0.885731
En vez de polvo del bueno,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,Los Tucanes De Tijuana,NA,1.0,1990.0,3.7917895,0.41271216,2.0742462
"Enrolla mi joint, me sirve un trago de ron",0.0,0.0,1.0,0.0,1.0,0.0,2013.0,Hood P.,DI,1.0,2010.0,4.913962,-0.47695792,0.88252115
Eran cuatro de a caballo,1.0,0.0,0.0,0.0,0.0,0.0,1988.0,Lorenzo De Monteclaro,AR,1.0,1980.0,5.7587314,-1.5491606,2.0920763
Ese león ya creó melena,0.0,0.0,0.0,2.0,0.0,0.0,2024.0,Los Invasores De Nuevo Leon,PO,2.0,2020.0,5.2643046,-1.0364617,1.4931463
Esta mercancía controla todo el terreno,0.0,0.0,0.0,0.0,2.0,0.0,2019.0,Santa Fe Klan,NA,2.0,2010.0,5.4468474,0.7701384,0.97386676
"Esta mota es de reyes, no la fuman los plebeyos",0.0,0.0,2.0,0.0,2.0,0.0,2025.0,Alemán,DI,2.0,2020.0,5.6095867,0.17676601,1.9692789
Estaban 100 federales,0.0,0.0,0.0,0.0,0.0,2.0,2024.0,Los Invasores De Nuevo Leon,GO,2.0,2020.0,5.353437,-0.48605803,-1.1218638
"Every day me la fumo, el barrio perfumo",0.0,0.0,0.0,0.0,2.0,0.0,2019.0,Santa Fe Klan,NA,2.0,2010.0,5.7694006,0.47072107,0.2199264
Fiesta y mujeres pa' variar,0.0,0.0,1.0,0.0,0.0,0.0,,Ovi,DI,1.0,2000.0,5.1013713,1.2275501,-0.18255547
"Fue comandante, en Tijuana",0.0,0.0,0.0,0.0,0.0,2.0,1998.0,Los Huracanes Del Norte,GO,2.0,1990.0,4.877281,-1.2996615,-0.7487824
Fue una batalla sin cuartel y sin tregua,2.0,0.0,0.0,0.0,0.0,3.0,2019.0,Bronco,GO,3.0,2010.0,7.035208,-1.4550208,-0.50259054
"Fumando la marihuana, pura kush en su joint",0.0,0.0,0.0,0.0,1.0,0.0,2018.0,Alemán,NA,1.0,2010.0,5.0773664,-0.50354064,1.0339203
Fórrate de dinero,0.0,0.0,3.0,0.0,0.0,0.0,,Mike Diaz,DI,3.0,2000.0,2.6708574,-0.20722617,-0.1300552
Gallina cruzada con perico,0.0,0.0,0.0,0.0,2.0,0.0,2002.0,"""El Piporro""",NA,2.0,2000.0,5.2332234,-1.3485734,1.7427584
General ya no sea tan violento,0.0,0.0,0.0,0.0,0.0,2.0,2013.0,El Komander,GO,2.0,2010.0,4.09375,0.5436203,0.7632753
Gonzalo la gente anda activa,0.0,0.0,0.0,1.0,0.0,0.0,2013.0,Voz De Mando,PO,1.0,2010.0,5.534038,0.070544004,-0.5432653
Gonzalo tira una granada,3.0,0.0,0.0,0.0,0.0,0.0,2013.0,Voz De Mando,AR,3.0,2010.0,7.061226,-0.70281297,-1.266529
Guanajuato sin ley hasta la muerte reales,3.0,0.0,0.0,0.0,0.0,3.0,2021.0,Denilson,AR,3.0,2020.0,6.4147987,-2.1310925,-0.43831667
"Ha muerto Santos Cantu, lo matan los federales",2.0,0.0,0.0,0.0,0.0,1.0,1988.0,Carlos Y José,AR,2.0,1980.0,6.7464437,-2.5638325,-0.92543834
Hacía estragos con su rifle,2.0,0.0,0.0,0.0,0.0,0.0,1996.0,Los Invasores De Nuevo León,AR,2.0,1990.0,7.081257,-0.65042436,-0.94963056
Hay caballos muy ligeros,0.0,1.0,0.0,0.0,0.0,0.0,2000.0,Ramon Ayala Y Sus Bravos Del Norte,MO,1.0,2000.0,5.660276,-1.5732664,2.1494439
Hay conectes y hay billetes,0.0,0.0,2.0,2.0,0.0,0.0,2024.0,Tito Double P,DI,2.0,2020.0,1.71691,-0.01214881,-0.2741828
"Hay que matar a Rodríguez, traigo órdenes del gobierno",2.0,0.0,0.0,0.0,0.0,2.0,2008.0,Chalino Sánchez,AR,2.0,2000.0,5.872306,-2.0070963,-0.7739341
Hizo coca transparente,0.0,0.0,0.0,0.0,2.0,0.0,2007.0,Los Tigres Del Norte,NA,2.0,2000.0,5.0854545,-0.040013283,1.6702106
Hombre de mucho dinero,0.0,0.0,1.0,0.0,0.0,0.0,,Antonio Aguilar,DI,1.0,2000.0,2.9831812,0.30058417,-0.8875562
Hombre entre los hombres,0.0,0.0,0.0,1.0,0.0,0.0,1984.0,Antonio Aguilar,PO,1.0,1980.0,5.597417,-0.14577192,-0.46664077
Hombres a carta cabal,0.0,0.0,0.0,1.0,0.0,0.0,1988.0,Carlos Y José,PO,1.0,1980.0,6.443174,-1.0431192,-1.0898008
Hoy me la paso disfrutando con la clika,0.0,0.0,0.0,1.0,0.0,0.0,2018.0,Dharius,PO,1.0,2010.0,4.4057975,-0.37177196,0.5499528
Huele a carne quemada,3.0,0.0,0.0,0.0,0.0,0.0,2012.0,Millonario & W. Corona,AR,3.0,2010.0,5.3895497,0.07782213,0.5256123
Juan llego en su camioneta,0.0,1.0,0.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,MO,1.0,2010.0,6.818735,0.027484449,1.7916244
"La calle nos dio dinero, nos quitó lo que más queremos",0.0,0.0,3.0,0.0,0.0,0.0,,Alemán,DI,3.0,2000.0,2.9683888,-0.21645594,-0.45620084
"La carga llego a Chicago, contentos están los gringos,",0.0,0.0,0.0,3.0,0.0,0.0,1998.0,Los Huracanes Del Norte,PO,3.0,1990.0,6.172968,0.94415915,1.237362
"La carga ya va volando, allá por la 83",0.0,2.0,0.0,0.0,2.0,0.0,1985.0,Luis Y Julian,MO,2.0,1980.0,6.1899314,0.9188184,1.3001723
La chota no me cacha si muevo kilos en lancha (por el mar),0.0,3.0,0.0,0.0,0.0,3.0,2020.0,Alemán,MO,3.0,2020.0,3.7485356,0.9617926,0.85271454
"La clave el apoyo, siguen avanzando",0.0,0.0,0.0,2.0,0.0,0.0,2013.0,El Komander,PO,2.0,2010.0,4.1696744,0.23450086,-0.7903481
La gente de los pueblos es la que va a luchar,0.0,0.0,2.0,0.0,0.0,0.0,2018.0,Calo,DI,2.0,2010.0,5.1859436,0.25836384,-1.6270034
"La hookah, las pastilla' y un blunt",0.0,0.0,0.0,0.0,1.0,0.0,2025.0,Bad Bunny,NA,1.0,2020.0,4.4029207,0.008538246,1.2261077
"La huella me andan pisando, pero que den conmigo",0.0,0.0,0.0,0.0,0.0,2.0,2022.0,Dharius,GO,2.0,2020.0,5.083509,-0.40288442,-0.06761245
"La ley quiere detenerlo,",0.0,0.0,0.0,0.0,0.0,2.0,2007.0,Los Tucanes De Tijuana,GO,2.0,2000.0,5.50356,-1.2647636,0.096643865
La ley recojio la carga,0.0,0.0,0.0,0.0,2.0,3.0,1997.0,Los Tucanes De Tijuana,GO,3.0,1990.0,6.142373,1.0674862,1.2879303
La mafia tira a matar,1.0,0.0,0.0,1.0,0.0,0.0,1996.0,Los Tucanes De Tijuana,AR,1.0,1990.0,6.3777857,-2.0963197,-1.1545898
La marca del barrio es la dueña,0.0,0.0,0.0,1.0,0.0,0.0,2012.0,Millonario & W. Corona,PO,1.0,2010.0,5.7772503,0.5017334,-0.40105814
La muerte del Pela Vacas,1.0,0.0,0.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,AR,1.0,2010.0,6.5755053,-2.4655726,-0.9044256
La muerte en puros billetes,1.0,0.0,1.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,AR,1.0,2010.0,1.7865897,-0.21759048,-0.34121582
"La policía solo halló, una pistola tirada",2.0,0.0,0.0,0.0,0.0,1.0,1976.0,Ramon Ayala,AR,2.0,1970.0,7.3716645,-0.83165646,-1.1266624
La trampa estaba tendida,2.0,0.0,0.0,0.0,0.0,0.0,1996.0,Los Tucanes De Tijuana,AR,2.0,1990.0,5.3829412,-0.35624143,0.76222205
"Las apuestas eran grandes, volaba mucho dinero",0.0,0.0,2.0,0.0,0.0,0.0,,Los Huracanes Del Norte,DI,2.0,2000.0,2.810184,0.29361624,-0.8877309
"Las balas le botaban, mientras el se carcajeaba",2.0,0.0,0.0,0.0,0.0,0.0,1980.0,Los Alegres De Terán,AR,2.0,1980.0,7.142424,-1.54948,-0.915828
Las cuatro llantas cambiarón,0.0,2.0,0.0,0.0,0.0,0.0,1988.0,Lorenzo De Monteclaro,MO,2.0,1980.0,5.924927,0.01565114,1.0654719
Las mujeres y la banda siempre han sido su pasion,0.0,0.0,2.0,0.0,0.0,0.0,,Chalino Sánchez,DI,2.0,2000.0,5.6414685,1.1193907,-0.26618686
"Las máquinas cuentan dinero, cuando hay que accionar",0.0,1.0,3.0,0.0,0.0,0.0,,Dharius,DI,3.0,2000.0,2.303608,-0.2609021,-0.078320466
Le dieron 15 balazos la nena logro salvarla,3.0,0.0,0.0,0.0,0.0,0.0,2003.0,Los Tucanes De Tijuana,AR,3.0,2000.0,7.328168,-1.3624166,-1.4219567
Le dije que me aguante mientras hago la misión,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,Denilson,PO,1.0,2020.0,5.049139,-1.4436246,-0.51148146
Le falló la resistencia.,0.0,0.0,0.0,1.0,0.0,0.0,1985.0,Chayito Valdez,PO,1.0,1980.0,5.792225,-1.3391333,-0.057105996
Le mandaron un agente,0.0,0.0,0.0,0.0,0.0,2.0,1996.0,Grupo Laberinto,GO,2.0,1990.0,5.282934,-1.3210843,-0.42114666
Le quitó la silla y se fue a puro pelo,0.0,2.0,0.0,0.0,0.0,0.0,1983.0,José Alfredo Jiménez,MO,2.0,1980.0,5.7562227,-1.1760577,0.07899242
Les descargué la pistola,2.0,0.0,0.0,0.0,0.0,0.0,2012.0,Chalino Sánchez,AR,2.0,2010.0,7.255876,-0.71448725,-1.0552793
Les dieron polvo de trigo,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,Los Tucanes De Tijuana,NA,1.0,1990.0,3.8534417,0.3814666,2.1140447
"Llamado el emisario, aliado de la muerte",1.0,0.0,0.0,0.0,0.0,0.0,2002.0,Cartel De Santa,AR,1.0,2000.0,6.018113,-2.2313442,-0.9507021
"Llegó el patrón, atención, todos a cambiar",0.0,0.0,0.0,2.0,0.0,0.0,2018.0,Alemán,PO,2.0,2010.0,5.43696,-0.24482192,-0.08505478
Llevamos treinta millones,0.0,0.0,3.0,0.0,0.0,0.0,2012.0,Jenni Rivera,DI,3.0,2010.0,2.543285,0.33315077,-0.21871807
Lleven sus cargas señores,0.0,0.0,0.0,0.0,1.0,0.0,2012.0,Carlos Y Jose,NA,1.0,2010.0,6.104849,0.9960343,0.9144593
"Lo acribillaron, a tiros",3.0,0.0,0.0,0.0,0.0,0.0,1998.0,Los Huracanes Del Norte,AR,3.0,1990.0,6.9372077,-2.3376954,-0.7692874
Lo ha visto tu gente en la calle y los noticieros,0.0,0.0,0.0,1.0,0.0,0.0,2012.0,C-Kan,PO,1.0,2010.0,5.020171,-0.41837645,-0.6768923
"Lo que si les aseguro, que la carga fue entregada",0.0,2.0,0.0,0.0,2.0,0.0,1998.0,Los Huracanes Del Norte,MO,2.0,1990.0,6.0386825,0.88736707,0.95254433
"Loco, si gastas siempre con el blunt, blunt",0.0,0.0,0.0,0.0,1.0,0.0,2018.0,Alemán,NA,1.0,2010.0,4.251155,0.021195624,1.1088432
Los acechaba la muerte,2.0,0.0,0.0,0.0,0.0,0.0,1998.0,Los Traileros Del Norte,AR,2.0,1990.0,6.490692,-2.379189,-1.0940592
Los diamantes en el motor del carro (en el clavo),0.0,0.0,3.0,0.0,0.0,0.0,,Alemán,DI,3.0,2000.0,2.9735708,1.270085,-1.5273874
Los dos traiban' sus pistolas,2.0,0.0,0.0,0.0,0.0,0.0,2007.0,Pedro Infante,AR,2.0,2000.0,7.2156982,-0.71092445,-1.1012294
Los gallos y las mujeres,0.0,0.0,1.0,0.0,0.0,0.0,,Los Tigres Del Norte,DI,1.0,2000.0,5.3324437,-1.5904096,1.9149034
Los gobiernos de ambos lados,0.0,0.0,0.0,0.0,0.0,2.0,1985.0,Los Broncos De Reynosa,GO,2.0,1980.0,5.4428325,0.25416076,-1.7766565
"Los radios suenan y suenan, pero yo siempre ando alerta",0.0,0.0,0.0,1.0,0.0,0.0,2022.0,"Peso Pluma, Natanael Cano, Gabito Ballesteros",PO,1.0,2020.0,5.985689,-0.0031728009,-0.2019733
Los siguió la federal,0.0,0.0,0.0,0.0,0.0,1.0,1976.0,Los Cadetes De Linares,GO,1.0,1970.0,5.3334894,-0.6197637,-0.84217167
Los tres cuerpos heridos de muerte.,2.0,0.0,0.0,0.0,0.0,0.0,1988.0,Maria De Lourdes,AR,2.0,1980.0,6.7473607,-2.4307806,-1.060421
"Los únicos que no saben, es la gente del gobierno",0.0,0.0,0.0,0.0,0.0,3.0,1998.0,Los Huracanes Del Norte,GO,3.0,1990.0,5.2802415,0.19004968,-1.8122355
Luego le pusieron cola,2.0,0.0,0.0,2.0,0.0,2.0,1997.0,Banda Sinaloense Los Recoditos,AR,2.0,1990.0,5.717384,-1.2486957,-0.17233059
"MI MUJER Y MI PISTOLA""",1.0,0.0,1.0,0.0,0.0,0.0,2006.0,Antonio Aguilar,AR,1.0,2000.0,7.227688,-0.35726896,-1.0965644
"Mando llamar los empleados, para que lo desarmaran",1.0,0.0,0.0,2.0,0.0,0.0,1980.0,Los Cadetes de Linares,PO,2.0,1980.0,5.1129045,-1.28962,-0.7514231
Mando traer la policía,0.0,0.0,0.0,0.0,0.0,1.0,1976.0,Carlos Y Jose,GO,1.0,1970.0,5.3371363,-1.2428346,-0.612595
Mas nunca descuido el jale,0.0,0.0,0.0,2.0,0.0,0.0,2008.0,Valentin Elizalde,PO,2.0,2000.0,6.5240107,0.1396306,-0.23543699
Matando cuatro y al cuñado de mi novia,1.0,0.0,0.0,0.0,0.0,0.0,1983.0,Los Tigres Del Norte,AR,1.0,1980.0,6.5669675,-1.768932,-1.0830791
Me amanezco gastando dinero,0.0,0.0,2.0,0.0,0.0,0.0,,Tito Double P,DI,2.0,2000.0,2.9174318,0.06576463,-0.1699543
Me bajé de la camioneta,0.0,1.0,0.0,0.0,0.0,0.0,2019.0,Redimi2,MO,1.0,2010.0,6.5822206,-0.06562205,1.9316992
"Me enamoró el dinero, quiero, quiero y quiero más",0.0,0.0,3.0,0.0,0.0,0.0,,"Junior H, Peso Pluma",DI,3.0,2000.0,3.2122104,0.008221944,-0.30740368
"Me maman las putas, nadar en el polvo lavado",0.0,0.0,1.0,0.0,1.0,0.0,2025.0,Fuerza Regida,DI,1.0,2020.0,3.8849683,0.37073722,2.0851934
Me quedan dos en la carga y tres en la carrillera,2.0,0.0,0.0,0.0,0.0,0.0,2000.0,Beto Quintanilla,AR,2.0,2000.0,6.2788568,0.5891107,1.3140702
"Me refiero a todos ellos, federales de camino",0.0,0.0,0.0,0.0,0.0,1.0,1988.0,Carlos Y José,GO,1.0,1980.0,5.21543,-0.3358289,-1.1500313
"Mi dinero, y mi pistola",1.0,0.0,1.0,0.0,0.0,0.0,1972.0,Vicente Fernàndez,AR,1.0,1970.0,7.245001,-0.5819432,-1.1493946
Mi gente es su gente y yo le hago esquina,0.0,0.0,0.0,1.0,0.0,0.0,2013.0,Voz De Mando,PO,1.0,2010.0,4.716173,0.12566659,-0.8994064
Mi gente sigue mandando,0.0,0.0,0.0,3.0,0.0,0.0,1997.0,Grupo Exterminador,PO,3.0,1990.0,4.6058984,0.07297206,-0.82890433
"Mi gente y yo nos fajamos, rodeados de federales",1.0,0.0,0.0,0.0,0.0,1.0,2008.0,Valentin Elizalde,AR,1.0,2000.0,5.2381406,-0.20996502,-0.9874252
Mi libreta está repleta y tengo bien clara mi meta,0.0,0.0,1.0,0.0,1.0,0.0,2020.0,Dharius,DI,1.0,2020.0,4.3121004,-0.17480746,-0.12954311
"Mija, súbete a la troca",0.0,1.0,0.0,0.0,0.0,0.0,2024.0,Tito Double P,MO,1.0,2020.0,5.279908,0.27276313,0.79198503
"Mis compás me dicen vuelale, correle por esos dolares, por esos dolares yo volare,",0.0,0.0,3.0,0.0,0.0,0.0,,Adan Cruz,DI,3.0,2000.0,2.7388523,0.40651587,0.24821937
"Moviendo bien el ice, everywhere me han de mirar",0.0,2.0,2.0,0.0,2.0,0.0,2022.0,"Peso Pluma, Natanael Cano, Gabito Ballesteros",MO,2.0,2020.0,4.7903447,-0.10620204,-0.014987039
Mucho dinero joyas y carros,0.0,1.0,2.0,0.0,0.0,0.0,,Voz De Mando,DI,2.0,2000.0,2.8907902,0.53516847,-0.90486974
Mujeres que andan con ellos,0.0,0.0,1.0,0.0,0.0,0.0,2013.0,Voz De Mando,DI,1.0,2010.0,5.3439527,1.0018046,0.04749103
Mujeres tengo de sobra,0.0,0.0,2.0,0.0,0.0,0.0,2003.0,Los Tucanes De Tijuana,DI,2.0,2000.0,4.855895,1.1102499,-0.23756151
"Musica, vino y mujeres",0.0,0.0,2.0,0.0,0.0,0.0,,Los Tucanes De Tijuana,DI,2.0,2000.0,5.1843133,1.3282602,-0.22389995
"Muy bien plantado, y con camioneta",0.0,1.0,0.0,0.0,0.0,0.0,1980.0,Los Cadetes de Linares,MO,1.0,1980.0,6.5868464,0.16479088,1.6999825
"Muy caro el reloj, muy brillante por los diamantes que tiene",0.0,0.0,2.0,0.0,0.0,0.0,2022.0,Fuerza Regida,DI,2.0,2020.0,2.9865265,1.1279283,-1.4244258
Más de treinta gatilleros,3.0,0.0,0.0,0.0,0.0,0.0,1997.0,Los Tucanes De Tijuana,AR,3.0,1990.0,6.8798056,-1.291862,-1.4259402
Negocian con puro jefe,0.0,0.0,0.0,2.0,0.0,0.0,1998.0,Los Tucanes De Tijuana,PO,2.0,1990.0,4.563016,-0.5783129,-0.9141441
Ni yo ni mi gente podremos permitir,0.0,0.0,0.0,2.0,0.0,0.0,2006.0,Vico C,PO,2.0,2000.0,4.7481284,0.09699788,-0.88942605
Ninguna ley del gobierno,0.0,0.0,0.0,0.0,0.0,3.0,2024.0,Los Invasores De Nuevo Leon,GO,3.0,2020.0,6.6164036,-1.1587266,0.21336122
"No hay pedo, ya no falta el dinero",0.0,0.0,2.0,0.0,0.0,0.0,2024.0,Eme MalaFe,DI,2.0,2020.0,3.0873852,0.19577459,0.005085606
No importa de 'onde sale mientras llene los barriles,0.0,0.0,1.0,0.0,1.0,0.0,2015.0,Millonario,DI,1.0,2010.0,5.9616003,0.93444484,0.7289547
"No las cambio ni al kilo ni vendo,",0.0,0.0,0.0,0.0,1.0,0.0,2002.0,"""El Piporro""",NA,1.0,2000.0,3.7575133,0.9340245,0.66268146
No quieras hacerte el héroe es por tu bien muchachito te puede costar la vida si no me entregas los kilos estas retando al gobierno y ese es un grabe delito,1.0,0.0,0.0,0.0,2.0,1.0,1997.0,Grupo Exterminador,NA,2.0,1990.0,3.65221,0.9407356,0.85660404
"No se preocupen, plebes, que cargan buen equipo",1.0,0.0,0.0,0.0,0.0,0.0,2022.0,Natanael Cano,AR,1.0,2020.0,5.9747424,0.9401657,0.7159079
No tengo millones pero tengo demandas por dos,0.0,0.0,1.0,0.0,0.0,0.0,2023.0,Blnko,DI,1.0,2020.0,2.4821374,0.041801047,0.10445541
No todo es amor y paz en el humo de tu bong,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,Alemán,NA,1.0,2020.0,4.8484025,-0.5189151,1.1880716
"No trabajo en nada, yo soy mi producto y dueño",0.0,0.0,0.0,2.0,2.0,0.0,2020.0,Kosmer,PO,2.0,2020.0,3.7753627,0.7390057,0.25713992
"No traigo mota, ni tampoco molly (Molly)",0.0,0.0,0.0,0.0,2.0,0.0,2018.0,Alemán & Adán Cruz,NA,2.0,2010.0,5.6999593,0.055561855,1.973693
"Nunca he disparado un arma, ni he visto junto un millon",2.0,0.0,1.0,0.0,0.0,0.0,2015.0,Faruz Feet,AR,2.0,2010.0,6.749556,-1.0446782,0.26688612
Otra vez ando con los plebes,0.0,0.0,0.0,1.0,0.0,0.0,2019.0,La Plebada,PO,1.0,2010.0,4.4428606,0.051915478,-0.16930583
"Otra vez ando pedo, chúfulas, dinero",0.0,0.0,1.0,0.0,1.0,0.0,,Fuerza Regida,DI,1.0,2000.0,3.3820577,-0.08540855,-0.24020594
Pa' celebrar como se debe,0.0,0.0,1.0,0.0,0.0,0.0,2019.0,La Plebada,DI,1.0,2010.0,5.0116796,0.6651178,-0.52422094
"Pa' mi gente buena, ellos ordenan",0.0,0.0,0.0,2.0,0.0,0.0,2014.0,Wisin,PO,2.0,2010.0,4.6428947,-0.037367117,-1.0379034
Pa' que este de mi medida,0.0,0.0,2.0,0.0,0.0,0.0,1972.0,Vicente Fernàndez,DI,2.0,1970.0,4.5107036,0.3435734,-0.507879
"Pacas verdes, los Rolex se ven brillando",0.0,0.0,3.0,0.0,0.0,0.0,2023.0,"Peso Pluma, Eladio Carrion",DI,3.0,2020.0,3.1288633,1.2110773,-1.3759081
Para hacer dinero hay mil maneras,0.0,0.0,1.0,0.0,0.0,0.0,,Alemán,DI,1.0,2000.0,2.6332045,-0.34858084,-0.3487202
Para perderse en las nubes con su carga llegaría,0.0,2.0,0.0,0.0,1.0,0.0,2008.0,Valentin Elizalde,MO,2.0,2000.0,6.206498,0.8882467,1.3732657
Para poder darte caza,2.0,0.0,0.0,0.0,0.0,2.0,1988.0,Los Huracanes Del Norte,AR,2.0,1980.0,4.873736,-0.8044593,0.50722605
Para poder defenderme,1.0,0.0,0.0,0.0,0.0,0.0,1984.0,Los Temerarios,AR,1.0,1980.0,4.9592233,-0.8847847,0.16224977
Para que a mí me detengan,0.0,0.0,0.0,0.0,0.0,2.0,1997.0,Banda Sinaloense Los Recoditos,GO,2.0,1990.0,5.0231447,-1.0148348,0.085017435
Para que los registraran,0.0,0.0,0.0,0.0,0.0,2.0,1988.0,Lorenzo De Monteclaro,GO,2.0,1980.0,4.9848695,-0.9854203,0.056589954
"Para que sepa', ya contamo' un millón, oh (¡Ya!)",0.0,0.0,1.0,0.0,0.0,0.0,2020.0,Alemán,DI,1.0,2020.0,2.0254245,0.27359527,-0.06999009
"Pelado más culero, ya vieron que carga fiero",1.0,0.0,0.0,0.0,0.0,0.0,2006.0,Cartel De Santa,AR,1.0,2000.0,6.2497087,0.87052435,1.1782993
Pero con el contrabando,0.0,2.0,0.0,0.0,2.0,0.0,1976.0,Los Cadetes De Linares,MO,2.0,1970.0,3.9300015,1.6426108,2.72811
Pero defendió su gente,0.0,0.0,0.0,1.0,0.0,0.0,1988.0,Lorenzo De Monteclaro,PO,1.0,1980.0,5.1220717,0.23733236,-1.1262966
Pero no de hierba mala,0.0,0.0,0.0,0.0,1.0,0.0,1997.0,Los Tucanes De Tijuana,NA,1.0,1990.0,3.9839144,0.5088656,1.1353858
Pero por el dinero hay que buscar otro camino,0.0,0.0,1.0,0.0,0.0,0.0,,Kartel De Las Calles,DI,1.0,2000.0,2.8128555,-0.34206438,-0.527132
"Pero si la quiere toda, con sus hombres yo me mato",2.0,0.0,0.0,2.0,0.0,0.0,2003.0,Los Tigres Del Norte,AR,2.0,2000.0,6.084547,-1.9601527,-0.8966542
"Perseguido día tras día, no vivía tranquilo",0.0,0.0,0.0,0.0,0.0,2.0,2006.0,Kartel De Las Calles,GO,2.0,2000.0,5.8008685,-0.8753053,-0.28449392
Pieza clave del negocio,0.0,0.0,0.0,1.0,0.0,0.0,2012.0,Calibre 50,PO,1.0,2010.0,3.9557736,0.14265238,-0.70063585
Pistola en mano se le echaron de a montón,2.0,0.0,0.0,2.0,0.0,2.0,1980.0,Various,AR,2.0,1980.0,7.070503,-0.8759354,-1.0453568
Polarizado y me prendo un gallón,0.0,1.0,0.0,0.0,1.0,0.0,2021.0,Gerardo Ortiz,MO,1.0,2020.0,4.405019,-0.31008747,0.76803535
"Polvito rosa, plumita de wax",0.0,0.0,0.0,0.0,1.0,0.0,2023.0,Peso Pluma,NA,1.0,2020.0,3.8326907,0.3646114,2.124232
