artist,song,year,verso_idx,verso_texto
Grupo Exterminador,La Fiesta De Los Perrones,1997,15,De Jalisco y de Sonora
Valentin Elizalde,Corrido De Juan Martha,2008,15,hoy ya tengo muy buen puesto
Los Caminantes,Sucedió En La Barranca,1984,3,Que fue muy mi amigo y murió en la barranca
Chalino Sánchez,Chuyita Beltran,2008,40,Y siempre tiene una charla
Los Tigres Del Norte,El Discipulo Del Diablo,2007,24,Y al olfato de los canes
Los Huracanes Del Norte,El Arbol De La Horca,1988,22,No van a poder salvarlo
Lucha Villa,Corrido De Chihuahua,1983,25,Y los pinos de Majalca
Ramon Ayala,Daniel Del Fierro,1976,18,"Anda a avisarles a todos, también al rancho la piedra"
El As De La Sierra,La Doble Rodado,1998,3,que todo llegue completo
Chalino Sánchez,Eleazar Quintero,2002,19,Eleasar Quintero ha sido una persona que cuenta
Los Tucanes De Tijuana,El Charro De Culiacán,1996,6,Siguieron investigando
Los Cadetes De Linares,Nomas Las Mujeres Quedan,2008,1,Hay un rancho en el olvido
C-Kan,Tirando Esquina,2014,67,"la banda lo que pida, para todos hay salida"
Tino El Pingüino,Sherlock Drums (o El Papá de Toda Esa Bola de Culeros),2013,47,A que tu depa esté en Santa Fe (No tengo na' que perder)
Tiro de Gracia,Melaza,1997,19,Despierto temprano en la mañana
Paulo Londra,Dimelo,2019,49,Soy todo oídos pa' tu boca
Dharius,Polvo Blanco,2022,10,"Soy el flaco, loco rapero; empecé de cero siendo el más sincero"
Skool 77,Una Vida Al Gusto,2019,20,lo tengas en el banco (ladrones-skool 77) la
Los Tigres Del Norte,Contrabando Y Traicion,1988,50,Sonaron siete balazos
El As De La Sierra,Regalo Caro,1997,27,"Ahí le va señor Cárdenas, compa zeta"
Rosalía,Saoko,2022,13,Cuando es de noche en el cielo
Antonio Aguilar,Rosita Alvirez,2007,28,"Hipólito, viejo matón"
Los Tucanes De Tijuana,Manuel Caro Carrillo,1996,26,También quedó ahi abatido.
Los Cadetes de Linares,Eleazar Del Fierro,1980,10,"Eleazar al verse herido, se rió de lo que habían hecho"
Grupo Exterminador,La Fiesta De Los Perrones,1997,7,Y brindemos por México
Denilson,Icy,2021,39,Y le digo qué pasa perro tú ni siquiera estabas cuando no había nada
Alemán,Astro 1,2018,45,La luna brilla y los lobos salen
Los Huracanes Del Norte,El Sexenio De La Muerte,1996,21,En la calle de la fragua
Tito Double P,Dembow Bélico,2024,17,Sé que yo manejo algún contrato
Los Tucanes De Tijuana,El Hijo De Lamberto Quintero,2008,33,Vengué a mi padre querido
Grupo Exterminador,El Baje,1997,31,Algunos cayeron muertos
C-Kan,Esta Vida Me Encanta [Remix],2012,30,"De plano en mi rap no encajan, tírenme, que me relaja"
El As De La Sierra,El Rayo De Sinaloa,1997,22,"Medina carga una lista, la perra vuelve a ladrar"
Valentin Elizalde,El Corrido Del Diez,2008,16,Mas nunca descuido el jale
Antonio Aguilar,La Toma De Zacatecas,1984,6,Que se estaban agarrando
Natanael Cano,Pal Que Dijo Que No,2020,10,"Salí de abajo, yo me superé (sí)"
Millonario,Inmortal,2015,13,Si tienes feria o andas con cuernos de chivo
"""El Piporro""",El Pata Rajada,2002,41,"No se fijan como ando vestido,"
7 Notas 7 Colores,Les Gano A Todos,2000,71,hay dias que hasta los cordones de las bambas parecen que esten vivos
"""El Piporro""",Volaron Los Pavos Reales,2002,27,Pos es que ustedes van a tener que mantener a mis hijos
Fuerza Regida,ayy weyy,2025,43,"La Fuerza Regida es, fue y seguirá"
Carlos Y Jose,Tres Tumbas,1996,7,Su padre les dio un consejo
Daddy Yankee,Talento De Barrio,2008,17,Me canse de estar en cero
Lila Downs,Son De Difuntos,2015,68,"¡Ajá, epa! (Uh-uh-uh-eah)"
Antonio Aguilar,El Palenque Del Diablo,2014,11,iban marcando su paso
Bad Bunny,Bokete,2025,16,Ya ni quiero competir
Calibre 50,El Niño Sicario,2012,23,Ser sicario ahora es mi vida
Chalino Sánchez,El Pitallon,2012,16,Su cuadril siempre relumbra la quiere pa' los traidores
Pedro Infante,El Aventurero,1988,0,Hoy he vuelto de otras tierras
Lalo Mora,Laurita Garza,2008,21,"Tengo mi novia pedida, por ti, mi amor se acabo"
7 Notas 7 Colores,"Hecho, Es Simple",2000,81,"CPV, Elements, La Madre, sí"
Lord Masta & Rplcmnts,Astrodromo,2021,0,Esto les llama como luz incandescente
Ovi,Vengo De Nada,2020,27,"Yo agradezco que estoy vivo, oh-oh-oh"
Los Tigres Del Norte,Arnulfo Gonzalez,2003,25,"Aquí termina el corrido, del teniente y de González"
Alemán & DJ Phat,El Levantón ,2014,21,Porque se andan muriendo de hambre y no tenemos ni para una tortilla
C-Kan,Esta Vida Me Encanta [Remix],2012,59,"De chavo fui pandillero, nació el amor a las letras"
Junior H,Con Un Presidente,2020,20,No ocupo pa' nada si no cargo miedo
Rich Vagos,Lo Logramos,2020,22,Afuera hay un aguacero
Calibre 50,Plebada Alterada,2012,15,Con la pechera ajustada
Rich Vagos,Lugar Correcto,2020,45,Apunto al corazón y siempre doy directo al blanco
C-Kan,Mi Música Es Un Arma,2013,50,La fama aumento el dinero llego el odio tambien crecio
Banda Sinaloense Los Recoditos,El Nylon,1997,46,Del sueño yo me he reído
Daddy Yankee,K-ndela,2008,61,Tú sabes el veneno que suelta la cascabel
"""El Piporro""",La Estrea Del Desello,2002,9,"Yo se bien que no soy ninguna alhaja,"
Grupo Exterminador,El Dedo,1997,13,"Que se cuide ese marica,"
Los Tigres Del Norte,El Aguilillo,2000,28,No acostumbro a dar mi nombre
Los Tigres Del Norte,El Circo,2002,17,Fue Carlos quien los cerro
Maluma,Trofeo,2024,20,A ver si todo lo malo se va por ahí
Bad Bunny,La Mudanza,2025,6,Gracias a Dios que ese día no estaba busy
Los Tigres Del Norte,La Maestra,1983,22,"Con ella le dio 6 tiros, luego se mato Laurita"
Eme MalaFe,Monedita De Oro,2025,14,"Al que respeta, respeto"
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,15,"Ya nos vio la de caminos, sacate las escopetas"
Denilson,Mi Coro,2021,12,"Pero nene qué quieres, quieres sonar y ni lírica tienes"
El Komander,Las Dos Cruces,2013,12,"No ha matado, nunca ha hecho ni un daño"
Los Cadetes de Linares,La Discusión Fue Una Yegua,1985,2,"Hizo mucho por los pobres, quizo mucho a su nacion"
Los Tigres Del Norte,El Curita Y La Coqueta,2007,31,pero andaba muy inquieta
Grupo Laberinto,El Comandante,1996,51,Nunca lo hubieran vendido
Daddy Yankee,Talento De Barrio,2008,20,De lo mítico del punto y cuando paraliza el culto
Tino El Pingüino,S.O.S.,2013,44,Mierda te sigo explotando
Los Tigres Del Norte,La Inflación,2000,23,El resto de tu vida no te la vas a acabar
Peso Pluma,PRC,2023,2,Los teléfonos no paran nunca de sonar
Antonio Aguilar,Caballo Alazan Lucero,1972,30,"Ay, amigos, no solamente hombres y mujeres"
Los Cadetes De Linares,Caballo Alazan Lucero,2000,23,Moriste viendo a la yegua como desciendo esta usted servida
Los Invasores De Nuevo Leon,El Baron Del Golfo,1996,9,que juan es los hombre que no se dan en macetas.
7 Notas 7 Colores,Mala Gente Con Más,2000,51,"Cabrón, ¡espérame! ¿Saben quién está en la habitación?"
Los Tigres Del Norte,El Hijo Menor,1996,17,Les damos todo el cariño y parte de nuestra vida
Julión Álvarez Y Su Norteño Banda,Ni Diablo Ni Santo,2022,22,"Que al final, la vida sabes que es prestada"
Vicente Fernandez,El Parchado,1980,3,Caballo muy ligero y con fama de campeón
Karol G,Culpables,2019,72,"Mera, dime Karol G, Los Intocables, Los Illuminati"
Cartel De Santa,Hey Si Me Ven,2006,38,"Y que por abrir la boca, hay quien le toca"
Pedro Infante,Yo Maté A Juan Charrasqueado,2007,18,Hoy le hablé pa' salir a pelear
Tiro Loko,16 Toneladas,2019,3,"Que no vine en vano, mi puesto lo gano"
C-Kan,El Llanto Del Inmigrante,2015,6,quieren acabar con el sombra marihuano
Chalino Sánchez,Jose Silva Sanchez,2008,22,"Cuando preso lo tomaron,"
Joan Sebastian,Pancho Bigotes,1988,16,Pancho se inicio en el crimen
Cartel De Santa,Si Son Bien Jotos ,2006,97,Por si me tuercen los cuetes darles su mochada al chota
Chalino Sánchez,Nacho Verduzco,2012,42,No se concedió su gusto
Los Huracanes Del Norte,La Suburban Dorada,1997,43,O ahora mismo los detengo
Fuerza Regida,Nunca Se Imaginó,2022,17,Los caballos y los carros lo entretienen
Natanael Cano,Dejala Brillar,2025,36,"Dos o tres atrás, los polis atrás"
Dharius,La Durango,2018,12,Yo según nada pendejo acepté en un dos por tres
C-Kan,No Haces Na,2015,16,Pero poquitito blam blam
Tino El Pingüino,Evoca,2018,116,Quería el spot en donde está Boneta
Alemán,Perro Callejero,2018,26,Fue el que me enseñó a ser el jefe (el jefe)
Antonio Aguilar,Rosita Alvirez,2007,0,¡Ahí va el corrido de Rosita Alvírez!
Los Tigres Del Norte,Los Aguaceros De Mayo,2009,38,Pero la tormenta se tragó los rastros
Tiro Loko,Ando Bien Marihuano,2021,35,Les comento Y si la encesto es claro porque soy el balón que va al aro de baloncesto
Antonio Aguilar,Margarita La De Tijuana,1980,28,Le enseñaba un Cargador
Chayito Valdez,Simon Blanco,1985,30,"A los primeros balazos,"
Junior H,El Chachito Anda Alegre,2020,28,"Pa' los Blancos de Iragueto, Platanitos son ranchos"
Natanael Cano,Aunque Les Pese,2019,11,Y mis pies no se han levantado
Los Huracanes Del Norte,El Corrido De Arturo,2008,18,"Como recuerda la palma, la tuna y el cerro viejo"
Los Tigres Del Norte,Los Hijos De Hernandez,2003,24,En los campos de combate
Paulo Londra,Homerun (Intro),2019,23,"Por mi hermana, por mi' pana', por mis gana'"
Denilson,Sed De Ganar,2021,48,Yo estoy pa' hacer dinero de los dramas me he alejado
Chino Pacas,LLEVARTE,2025,54,Fue porque los dos nos moríamos de ganas
Chalino Sánchez,Silvestre Murillo,2008,22,"se los dejo de tarea, si alguien lo quiere calar"
Tito Double P,Escapate,2024,30,"Mujer, te quiero ver recostada de nuez conmigo"
DJ Agustin,Kuley,2013,86,Dejate llevar por el sonido
Millonario & W. Corona,Extasis (Remix),2012,76,"Voy disfrutando chingón la vida, cerveza fría, whisky, tequila"
Natanael Cano,Traigo Ganas,2022,26,Gracias a Dios hay motivos para salir a jalar
Peso Pluma,Tommy & Pamela,2024,23,"5 a.m. y yo encima de ti, brillan mis pendientes de Tiffany's"
7 Notas 7 Colores,Sube En Mi Nave Espacial,2000,8,"deja que una de tus rimas, joda conmigo,"
Chalino Sánchez,Juan Ayon,2003,20,Siempre lo miran de traje
Rich Vagos,Miles y Miles,2020,51,Otro adicto a la mierda que yo hago
El Komander,La Mafia Se Sienta En La Mesa,2013,1,Un hombre empezó las cosas
Los Tucanes De Tijuana,Mas Vale Cholo,2007,10,"De que las puede, ya está bien comprobado"
J Balvin,Amarillo,2020,1,"Hoy voy a lo loco, ustede' me conocen (me conocen)"
El As De La Sierra,La Ram Colorada,1996,44,Luego a su empresa regresa
Lorenzo De Monteclaro,Contrabando Y Traicion,1988,29,"Con la dueña de mi vida"""
Valentin Elizalde,El Escape Del Chapo,2008,25,Más de tres horas tardó
Calibre 50,Barquillero,2021,25,Dieron por el Barquillero
Illya Kuryaki & The Valderramas,No Way José,1996,41,32 hombres armados destruyeron esa casita
Alemán,Famous G,2018,36,"Valen verga tus celos, quiero dinero y senos"
Wisin,Baby Danger,2014,115,Los reyes de la calle O'Neill
Los Huracanes Del Norte,La Venganza Del Viejito,1997,14,"Mandaron una persona, a los Estados Unidos"
Primero Company,La Borrega,2021,30,Nada en tu contra hoy solo tengo tirria
"""El Piporro""",Volaron Los Pavos Reales,2002,31,"Después que ya lo mataron, le echaron tierra en la boca,"
Grupo Exterminador,Los Dos Rivales,1996,5,porque ahorita vamos a ajustar las cuentas.
Grupo Exterminador,Me Gusta Ponerle Al Polvo,2014,32,El gusto se lleva adentro
Los Tucanes De Tijuana,El Catador,1998,30,Al catador le pagaron
Grupo Laberinto,Clave 7,1996,47,Mis armas no las entrego
Voz De Mando,La Recia,2013,7,Tres hombres suben con el
Chalino Sánchez,Ignacio Parra,2012,30,el gobierno me buscaba
Lirika Inverza,Todos,2019,18,Listos pa ser devorados por el sistema o el vicio
Vaquero's Musical,Ocho Kilos de Goma,1997,10,Usted pa' donde camina con esas botas tan finas
Antonio Aguilar,Corrido de Macario Leyva,1988,5,Les contesto la señora mi esposo se acaba de ir
Valentín Elizalde,A Mis Enemigos,2013,15,"A mí nadie me dio nada, todo lo que tengo es mío"
Primero Company,La Borrega,2021,44,Los ñeros saben cuáles son los elementos
C-Kan,Quien Contra Mi,2015,41,Que yo sigo normal en mi opinión personal
Alemán,Famous G,2018,28,Ahora soy un famous gangsta
Alemán,Lo Mío es la Calle,2020,9,Y aquí tengo unas pastillas por si quieres tomar
Wisin,Intro - El Sobreviviente,2014,16,Pa' los que están en prisión cumpliendo una condena
Los Tucanes De Tijuana,Gerardo El Poderoso,2008,4,el traficaba la droga
Blnko,Siempre la Cago,2021,39,"Pero ni con eso me quitan las ganas, ye"
Millonario,Inmortal,2015,3,"Un maricón, sin muelas, así son"
Los Cadetes De Linares,Ventura Ramos,1980,7,paloma de alas moradas parate en su sepultura anda avisara a agualeguas que mataton a ventura
7 Notas 7 Colores,Les Gano A Todos,2000,62,que yo les pongo bien tranquilos
Ill Mascaras,Dios Barras,2015,37,Cuerpos en el piso dios mio no puede ser
Dharius,Lírica Onírica ,2014,27,Y acomodo mi letra sobre el beat de varios modos
Banda Sinaloense Los Recoditos,Gordo y Mantecoso,1997,21,"¡Y ahí va un saludo para usted, compa Héctor!"
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,158,Que asumeis contra mi porque tengo el destino de
Los Tucanes De Tijuana,Los Marinos,1998,0,De las costas sinaloenses
Los Cadetes de Linares,Otra Tumba Más,1984,13,"Y otro corrido para el rancho de ""La Piedra"""
Alemán,Down With Me,2018,20,Nos ponemos locos sin ningún control
Chalino Sánchez,El Guilo Rivera,1998,32,"La bendición de su madre, esa lo ha de proteger"
Chalino Sánchez,Julián Del Real,2012,26,"""Préstame tu arma un momento"
Los Tucanes De Tijuana,El Pariente,1998,26,Eso ya esta confirmado.
El Komander,La Vuelta Cargada,2013,35,"Pero no me engaña, yo sé que algo trae va"
Chalino Sánchez,Por Una Rencilla Vieja ,2006,25,Pelearon en una fiesta
Pepe Aguilar,Gabino Barrera,2000,8,Traiba punteao el sombrero
Antonio Aguilar,Pánfilo Natera,1984,5,Que defendió Zacatecas...
Paulo Londra,Sigan Hablando De Mi,2019,44,Y e' por eso que rapeamo' y largamo' fuego
Primero Company,La Borrega,2021,28,Pero todo cambio y ahora la mirada es rara
Gera MxM,Mundo De Viboras,2014,23,"Porque es comercial, ya no importa su intelecto"
Bad Bunny / Benito,Un Preview,2024,26,"Mami, tú me tienes con la nota elevá'"
"Sergio Vega ""El Shaka""",El Malandrin,2024,8,El perico mucho menos
Paulo Londra,Tal Vez,2019,14,Que el frío y la espera siempre fue costumbre pa mí
Los Alegres De Teran,Juan Charrasqueado,1977,14,"""Estoy borracho"" les gritaba ""y soy buen gallo"""
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,80,Y si eh salido del puñetero infierno
Fuerza Regida,Me Tocó Morir,2022,18,Y séquense ya ese llanto
Vicente Fernandez,Guadalajara,1988,38,Tienes el alma más mexicana
Larry Hernández,El Taliban,2009,24,Nomas dándole luz verde
Daddy Yankee,K-ndela,2008,58,¿Esta noche quién no para?
Grupo Exterminador,El Diablo De Sinaloa,1996,21,Me gusta ponerle al polvo cuando ando en la borrachera
Los Cadetes De Linares,La Tartana,2000,19,"¡Eso yo no lo perdono!"""
Los Tigres Del Norte,El Hijo de Tijuana,1996,29,"Yo no pienso abandonarte, en tu suelo yo me muero"
Los Cadetes De Linares,El Crimen De Chihuahua,1984,40,Mira dónde lo metiste
Dharius,Alla por Cd. Juarez,2018,43,Total si me da la cruda me chingo unos clamatones
Valentín Elizalde,Clave Privada,2013,4,"Ya mucho tiempo fui pobre, mucha gente me a humillado,"
Eme MalaFe,Así es la calle (Bonus Track),2024,3,"Pa que tanta pregunta si saben quién soy, usted sabe mi rango"
Alemán,Lo Mío es la Calle,2020,7,"Y con la música hasta arriba, nadie quiere parar"
Los Huracanes Del Norte,Bernabe y La Super,1988,24,Demostraste ser un hombre
Peso Pluma,Lady Gaga,2023,14,"Polvito rosa, plumita de wax"
Rich Vagos,Lugar Correcto,2020,11,Hice de este mi trabajo a vender mierda en la esquina
Chalino Sánchez,Cipriano Y Juanito,2008,5,El es cipriano garcia
El As De La Sierra,La Ram Colorada,1996,1,Se anda paseando un amigo
Los Tigres Del Norte,Lo Que Sembre Alla En La Sierra,1997,26,Muriendo nada me llevo
Banda Sinaloense Los Recoditos,Los Mil Kilos,1997,40,Marcel Morales fue presó
Rich Vagos,Cállese,2020,92,Yo pensaba que está mierda era así
Los Cadetes De Linares,Caballo Alazan Lucero,2000,9,Como diciendo que en esa quinientas barras tu la dejaras
Pedro Infante,Jorge Negrete,2007,7,Y justo es reconocer que ya escogieron
Antonio Aguilar,Rosita Alvirez,2007,32,"De tres tiros que le dieron, nomás uno era de muerte"
Tino El Pingüino,Sherlock Drums (o El Papá de Toda Esa Bola de Culeros),2013,18,"Qué tal, que mal que sí. Normal, qué tal que no"
Tino El Pingüino,S.O.S.,2013,19,Mario Stacks se la piensa
Los Cadetes de Linares,Pistoleros Famosos,1980,2,Se acabaron los bandidos
Redimi2,La Fiesta,2019,70,Sigilosamente con mi frustración
Los Tucanes De Tijuana,El Catador,1998,40,"Que el que anda mal, mal acaba"
C-Kan,Mujer Bonita,2015,16,cuando me miras me siento maravilloso
C-Kan,M-E-X-I-C-O,2012,64,"M E X I C O, H-I-P H-O-P, ¡HIP HOP!"
Calibre 50,De Sinaloa Para El Mundo,2012,3,"Las granadas, cuernos y pecheras"
Rich Vagos,Miles y Miles,2020,40,Amanezco con dos o una más y eso que ni son de mi ciudad
Los Tucanes De Tijuana,Consulado privado,1997,40,¿De qué voy a preocuparme?
Alemán,Humo en la Trampa 2,2020,55,Y un cafecito para acompañar (A gusto)
C-Kan,Mama Me Dijo Un Dia,2015,5,Ahora y en la hora de nuestra muerte
Los Tucanes De Tijuana,El Jabalí,1997,33,grita la mafia es lo grueso
Paulo Londra,Dimelo,2019,19,Odiamos el día y la noche na'
El As De La Sierra,La Muerte Del Ligero,1997,6,era amigo del amigo de los galleros el rey
Antonio Aguilar,La Yegua Bikina,2006,12,Esa yegua encantadora
Alemán,Famous G,2018,33,"Es otro día, otro dolla' que le tumbo al gringo"
Paulo Londra,Nena Maldicion,2019,20,Mirada fría como la nieve
Voz De Mando,Estrategias de Guerra,2013,1,Con tropas y carabinas
Lorenzo De Monteclaro,Carga Ladeada,1988,1,Traía la carga ladeada
Antonio Aguilar,El Ojo De Vidrio,1984,34,En su caballo tordillo
Grupo Exterminador,El Curita,1997,20,doy a más de cuatro maridos
Antonio Aguilar,El Patas Blancas,1972,33,Por ahí dicen que la muerte
Antonio Aguilar,Que Me Entierren Con La Banda,2000,34,¿Y qué mejor que a caballo con una mujer hermosa y la con la banda detrás?
Los Tucanes De Tijuana,El Benefactor De Colima,2008,5,Pero le llovieron balasy no la desactivo
Calo,Tercera Guerra,2018,71,Con tantas armas que se han hecho aquí
Los Tucanes De Tijuana,El Pariente,1998,17,Muy cercano hacia El Señor
Millonario,Casco Nazi,2015,19,Chingo de mota y aparezco risa y risa
C-Kan,Vivo La Vida Cantando,2014,10,"maxo súbeme la voz, que llego el boss de la casa de empeño"
Los Tigres Del Norte,Mis Dos Patrias,1997,39,Con sus rayas rojas y blancas grabadas
Los Tigres Del Norte,Leopoldo Rios,2007,9,"Teniente no soy cobarde, pero tampoco asesino"
C-Kan,My Everything,2015,2,"Al que si sales tú quieras ver,"
Dharius,Directo Hasta Arriba ,2014,34,Hay que chingarle ahorita compa que pa' luego es tarde
Voz De Mando,El Macho y El Sangriento,2013,15,Haber no que muy machito
Pesado,Asesino A Sueldo,2008,21,"En la calle principal, de la cuidad de linares"
Carin León,Tupido y Ancho,2019,6,Que no falten todos los buenos amigos
Valentin Elizalde,El Corrido De Nalo Valdez,2008,13,las carreras comenzaron
Los Caminantes,Arnulfo Gonzalez,1984,41,Que se matan pecho a pecho
Los Tucanes De Tijuana,El Caqui,1997,28,A los narcos de San Diego
Los Tigres Del Norte,El Curita Y La Coqueta,2007,35,El corredor del curita
Vaquero's Musical,La Muerte Del Carrete,1996,33,"un militar de alto grado,"
Chalino Sánchez,Oscar Barraza,2008,5,Por el modo que ha tenido
Chalino Sánchez,Oscar Barraza,2008,8,Serquitas de culiacan
Rich Vagos,Cállese,2020,28,Ando con el Gera y el Romero en esos lares
Dharius,Mota y Perico,2022,51,Unos whiskys pa' la seca
