artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Los Invasores De Nuevo Leon,El Aguila Real,1998,"Procedente de Colombia, una avioneta llegaba,",,,,,,
Tito Double P,La Troka,2024,"Mija, súbete a la troca",,,,,,
Los Caminantes,Valentin De La Sierra,1984,Y colgado en la sierra,,,,,,
Los Tigres Del Norte,Me Gusta Lo Bueno,1983,Lo que sembre alla en la sierra,,,,,,
Santa Fe Klan,Adiccion,2019,Esta mercancía controla todo el terreno,,,,,,
Fuerza Regida,Nunca Se Imaginó,2022,Y ahí donde lo ven carga su pistola,,,,,,
Carlos Y Jose,Corrido De La Chicharra,1978,Cuando a caballo montaba,,,,,,
Grupo Exterminador,El Mexicano Cien Por Ciento,1997,en mi troca solitario escuchando una rola la,,,,,,
Voz De Mando,Estrategias de Guerra,2013,Carga las mejores armas,,,,,,
Los Cadetes De Linares,Pista Secreta,2000,"Si no es porque yo me fajo, no hubiera salvado el flete",,,,,,
Kosmer,Brasil 99',2020,"No trabajo en nada, yo soy mi producto y dueño",,,,,,
Fuerza Regida,Nunca Se Imaginó,2022,Y hoy donde lo ven carga su pistola,,,,,,
Valentin Elizalde,La Lobo Blindada,2008,Y en esa troca la llevan,,,,,,
Los Invasores De Nuevo Leon,La Fuga De Reynosa,1988,Y a bordo de camioneta,,,,,,
7 Notas 7 Colores,Mala Gente Con Más,2000,Por eso ahora no es lo mismo que tú vayas soñando en tu carro,,,,,,
Voz De Mando,Maximo Nivel,2013,Super caballo arrendado el 11 buen respaldo,,,,,,
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,"Tenian que llegar al norte, la carga estaba tratada",,,,,,
Los Cuates De Sinaloa, El Corrido de el Compa Deme,2009,sea por kilos o pedasos,,,,,,
Los Tucanes De Tijuana,El Catador,1998,Que la carga no servía,,,,,,
El As De La Sierra,El Desconocido,1997,de aquella sierra tan linda,,,,,,
Grupo Montéz De Durango,Las Mulas De Garame,2006,y ensillame mi caballo,,,,,,
Los Tucanes De Tijuana,El Tigre De Tijuana,2008,Lo echaron pa' la frontera,,,,,,
Antonio Aguilar,El Caballo Jovero,1984,Es la historia de un caballo que se llamaba el Jover,,,,,,
Los Invasores De Nuevo Leon,Clave 7,2024,Ya murió el león de la sierra,,,,,,
"""El Piporro""",Volaron Los Pavos Reales,2002,"Volaron los pavos reales, rumbo a la sierra mojada",,,,,,
Grupo Exterminador,El Mexicano Cien Por Ciento,1997,Tengo una troca bien perrona que por mi rancho,,,,,,
Fuerza Regida,Soy El Pirata,2022,Son altas y bajas en este camino,,,,,,
Grupo Laberinto,El Comandante,1996,"Ah, qué historia de caballo",,,,,,
Pesado,El Arbol De La Horca,2008,La muerte andaba a caballo,,,,,,
Los Cadetes De Linares,La Fuga De Mazatlan,2008,Ya me voy para la sierra del estado de Durango,,,,,,
Antonio Aguilar,El Caballo Blanco,1972,Este es el corrido del caballo blanco,,,,,,
Vaquero's Musical,La Muerte Del Carrete,1996,"a mi caballo y mi perro,",,,,,,
Millonario & W. Corona,Lirica Y Metralla,2012,Yo no doy el kilo doy la tonelada y pal frente,,,,,,
Los Huracanes Del Norte,La Suburban Dorada,1997,Y estaba toda blindada,,,,,,
"""El Piporro""",Mariano Resendez,2002,El amo del contrabando,,,,,,
Jenni Rivera,La Maestra Del Contrabando,2012,RecibÃ un bachillerato en Ciencias del Contrabando.,,,,,,
El As De La Sierra,El Gallito Fugado,1997,entre muerte y contrabando,,,,,,
Los Tucanes De Tijuana,La Pelo De Ángel,1998,Esta no carga cualquiera,,,,,,
Grupo Exterminador,Las Monjitas,1996,Una troca salió de Durango,,,,,,
Beto Quintanilla,El Corrido de Los Mendoza,2000,Me quedan dos en la carga y tres en la carrillera,,,,,,
Los Invasores De Nuevo Leon,La Fuga De Reynosa,1988,Y en un carro continuaron,,,,,,
Los Cadetes De Linares,El Crimen De Chihuahua,1984,El carro es rojo con blanco,,,,,,
Los Mier,Agustín Jaime,1988,"Agustín bajaba, bajaba a caballo",,,,,,
Vicente Fernández,Caballo Golondrino,1970,Su caballo relinchaba,,,,,,
Chalino Sánchez,Ramiro Sierra,2008,el caballo era un priollito,,,,,,
Los Cadetes De Linares,Pista Secreta,2000,"Procedentes de Colombia, una avioneta llegaba,",,,,,,
Alemán,Tumbados en la Trampa,2020,"Si paso en un carro nuevo, después de un concierto lleno",,,,,,
Antonio Aguilar,Muerte En El Coleadero,2006,Se le desantio el caballo,,,,,,
Los Tigres Del Norte,Los Tres Amigos - 30 Segundos Para Morir,1988,En la frontera les temen,,,,,,
Los Cadetes de Linares,Generoso Y Carmelita,1980,"Muy bien plantado, y con camioneta",,,,,,
Joan Sebastian,Afortunado,2002,Cuando yo no tenía carro,,,,,,
Peso Pluma,Zapata,2023,Comencé allá en la frontera,,,,,,
Chalino Sánchez,Juan Cantu,2012,Juan llego en su camioneta,,,,,,
Voz De Mando,La Hummer y El Camaro,2013,"""Ánimo mi campo, y ajústele al carro""",,,,,,
Los Tucanes De Tijuana,"Julián Pérez (Tema De La Película ""Salvando Al Soldado Pérez"")",2014,Cada quien por su camino,,,,,,
Los Cadetes De Linares,"Entre Hierba, Polvo Y Plomo",2003,Fue quien le enseñó el camino,,,,,,
Pesado,La Chiva Colgada,2008,Veto era hombre de valor y buen caballo montaba,,,,,,
Alberto Vázquez,Corrido De Chihuahua,1988,y de la sierra la carne.! Qué bonito Chihuahua!,,,,,,
Antonio Aguilar,El Campeon,2006,Y muy feliz mi caballo,,,,,,
Chalino Sánchez,Ramiro Sierra,2008,les dijo ramiro sierra,,,,,,
Chalino Sánchez,Ramiro Sierra,2008,y los ecos en la sierra,,,,,,
Los Tucanes De Tijuana,Se desgrano la mazorca,1997,Por causa de ochenta kilos,,,,,,
Los Huracanes Del Norte,La Nota Roja,1998,En la sierra de Durango.,,,,,,
C-Kan,El Llanto Del Inmigrante,2015,Pero ni con eso tumban su frontera,,,,,,
"""El Piporro""",La Estrea Del Desello,2002,"A lomo de un caballo, buscando pero no hallo",,,,,,
Los Cadetes De Linares,Pista Secreta,2000,"Señor aquí esta la carga, dijeron los colombianos,",,,,,,
Ignacio Lopez Tarso,La Persecución De Villa,2007,"muy fastidiados de ocho horas de camino,",,,,,,
Carlos Y Jose,"""Otilio Betancurt""",1998,Su caballo anda muy triste,,,,,,
Vaquero's Musical,Avionetas Cargadas,1997,En los Estados Unidos alla la compran por kilos,,,,,,
Chalino Sánchez,Adios Hermanos Quintero,2002,"Unos de una camioneta, a los dos los an matado",,,,,,
Antonio Aguilar,El Palenque,2014,y mi pistola mi montura y mi caballo,,,,,,
Pesado,Chito Cano,2008,Nomas sálganle al camino,,,,,,
Lorenzo De Monteclaro,Ayer Baje De La Sierra,1988,Ayer bajé de la sierra,,,,,,
Valentin Elizalde,Nuestro Jale,2008,Que le llevaran 100 kilos de su yerba la mejor,,,,,,
Dharius,El Pasado Está Olvidado,2022,Pero mucho lo aprendido a lo largo del camino,,,,,,
Los Caminantes,Benjamin Argumedo,1984,Lo bajaron por la sierra,,,,,,
Carlos Y José,Los Federales De Caminos,1988,"Me refiero a todos ellos, federales de camino",,,,,,
Los Tucanes De Tijuana,Gente Del Cartel,2014,me dedico al contrabando,,,,,,
Peso Pluma,Su Casa,2023,"Costales verdes, kilos azules",,,,,,
Carlos Y Jose,Corrido De La Chicharra,1978,Se mato con su caballo,,,,,,
Carlos Y Jose,Corrido De La Chicharra,1978,Sabían que andando a caballo,,,,,,
Los Tigres Del Norte,Ramiro Sierra,2003,Y los cascos del caballo,,,,,,
Millonario & W. Corona,Lirica Y Metralla,2012,Róbate mi tema yo te robo tu carro,,,,,,
Jenni Rivera,La Martina,2012,Yo pa' que quiero caballo,,,,,,
Los Huracanes Del Norte,Oro Verde,1998,"Allá en lo alto de la sierra, sembré como cien hectáreas",,,,,,
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,"Dicen que por california, se vio la troca mentada",,,,,,
Chalino Sánchez,El Gallo De Sinaloa ,2008,Yo me la paso en la sierra,,,,,,
Los Tigres Del Norte,Carne Quemada,1997,la carga quien la llevaba,,,,,,
Los Caminantes,El Potro Lobo Gateado,1984,Quiero que me dé un caballo,,,,,,
Los Caminantes,El Potro Lobo Gateado,1984,"""Qué caballo tan violento",,,,,,
Grupo Exterminador,La Yegua Y El Corvet,1997,Te voy a apostar mi carro,,,,,,
Pesado,Asesino A Sueldo,2008,"Cuando llego el gatillero, montado en su camioneta",,,,,,
Los Huracanes Del Norte,Sangre De Gallo,2000,Nacido y criado en la sierra,,,,,,
Los Tucanes De Tijuana,Barbarino,2014,quitense de su camino,,,,,,
Millonario,Rayas de Patron,2015,Agarro las llaves de su pichi camioneta,,,,,,
Antonio Aguilar,El Campeon,2006,Me dieron por mi caballo,,,,,,
Los Cadetes de Linares,Dimas De Leon,1980,"Adiós Reynosa querido, orgullo de la frontera,",,,,,,
El As De La Sierra,De Esta Sierra A La Otra Sierra,1997,"Mi sierra, compadre, mi sierra yo quiero, compadre",,,,,,
Millonario & W. Corona,Aqui Vou You,2012,"""Por andarte de frentea'o el carro",,,,,,
Los Huracanes Del Norte,El Cugar Gris,1998,"La carga llego a Chicago, contentos están los gringos,",,,,,,
